,Location,Price,Rooms,Bathrooms,Car Parks,Property Type,Size,Furnishing,Class
0,KLCC,1250000.0,2+1,3.0,2.0,Serviced Residence,1335.0,Fully Furnished,Built-up
2,Dutamas,1030000.0,3,4.0,2.0,Condominium (Corner),1875.0,Partly Furnished,Built-up
4,Bukit Jalil,900000.0,4+1,3.0,2.0,Condominium (Corner),1513.0,Partly Furnished,Built-up
5,Taman Tun Dr Ismail,5350000.0,4+2,5.0,4.0,Bungalow,7200.0,Partly Furnished,Land area
7,Taman Tun Dr Ismail,2600000.0,5,4.0,4.0,Semi-detached House,3600.0,Partly Furnished,Land area
9,Sri Petaling,385000.0,3,2.0,1.0,Apartment (Intermediate),904.0,Partly Furnished,Built-up
13,Taman Tun Dr Ismail,4580000.0,6+1,5.0,5.0,Bungalow (Intermediate),6000.0,Partly Furnished,Land area
16,Bukit Tunku (Kenny Hills),9000000.0,6+1,7.0,4.0,Bungalow (Corner),8500.0,Partly Furnished,Land area
18,Mont Kiara,1780000.0,4+1,4.0,2.0,Condominium (Corner),1830.0,Partly Furnished,Built-up
19,Mont Kiara,3450000.0,4+1,6.0,3.0,Condominium (Corner),3720.0,Fully Furnished,Built-up
20,Desa ParkCity,1500000.0,3+2,4.0,2.0,Condominium (Corner),1798.0,Partly Furnished,Built-up
21,Damansara Heights,1550000.0,1,1.0,1.0,Serviced Residence (Intermediate),904.0,Fully Furnished,Built-up
22,Mont Kiara,1500000.0,3+1,4.0,3.0,Condominium,2163.0,Fully Furnished,Built-up
24,Bangsar South,490000.0,1,1.0,1.0,Serviced Residence,520.0,Fully Furnished,Built-up
26,Bukit Jalil,610000.0,3+1,2.0,2.0,Condominium (Intermediate),1236.0,Partly Furnished,Built-up
28,Dutamas,1035880.0,3+1,4.0,1.0,Condominium (EndLot),1876.0,Partly Furnished,Built-up
31,Ampang Hilir,3300000.0,4+1,4.0,4.0,Condominium,3536.0,Unfurnished,Built-up
33,Ampang Hilir,460000.0,1,1.0,1.0,Serviced Residence,613.0,Fully Furnished,Built-up
35,KLCC,2400000.0,2,2.0,1.0,Serviced Residence,1006.0,Fully Furnished,Built-up
39,Jalan Klang Lama (Old Klang Road),1438000.0,3+2,4.0,3.0,Condominium (Corner),2378.0,Partly Furnished,Built-up
40,Mont Kiara,1720000.0,3+2,6.0,3.0,Condominium (Corner),2020.0,Partly Furnished,Built-up
42,KLCC,4280000.0,3+1,4.0,2.0,Serviced Residence (Corner),2195.0,Fully Furnished,Built-up
43,KLCC,2300000.0,1,2.0,1.0,Serviced Residence,1023.0,Partly Furnished,Built-up
44,Damansara Heights,4200000.0,6,5.0,5.0,Bungalow,5274.0,Partly Furnished,Land area
46,KLCC,2700000.0,3+1,4.0,3.0,Serviced Residence (Corner),3095.0,Fully Furnished,Built-up
47,Mont Kiara,1080000.0,2,2.0,1.0,Serviced Residence,896.0,Fully Furnished,Built-up
48,Mont Kiara,1150000.0,3,2.0,2.0,Condominium (Corner),1200.0,Partly Furnished,Built-up
49,Bukit Jalil,1070000.0,4+1,4.0,4.0,Condominium (EndLot),1772.0,Partly Furnished,Built-up
50,Bukit Jalil,930000.0,4,3.0,2.0,Condominium (EndLot),1513.0,Partly Furnished,Built-up
52,Bangsar South,780000.0,2,2.0,1.0,Serviced Residence (Corner),880.0,Partly Furnished,Built-up
53,KLCC,4098000.0,3+1,3.0,2.0,Serviced Residence (Intermediate),2066.0,Partly Furnished,Built-up
55,KL City,1800000.0,2,2.0,1.0,Serviced Residence (Duplex),1244.0,Fully Furnished,Built-up
57,Mont Kiara,2300000.0,4+1,5.0,2.0,Condominium (Corner),2702.0,Partly Furnished,Built-up
59,KLCC,4000000.0,3+1,3.0,2.0,Condominium (Intermediate),2250.0,Fully Furnished,Built-up
60,Ampang Hilir,4800000.0,5,6.0,3.0,Condominium,4300.0,Partly Furnished,Built-up
61,Ampang Hilir,3780000.0,4+1,5.0,4.0,Condominium (Corner),3628.0,Partly Furnished,Built-up
63,Bangsar South,850000.0,2+1,2.0,1.0,Serviced Residence,1050.0,Fully Furnished,Built-up
65,KLCC,1698800.0,2,2.0,1.0,Serviced Residence (Intermediate),1227.0,Fully Furnished,Built-up
66,Sungai Besi,999000.0,4+1,4.0,2.0,3-sty Terrace/Link House (Intermediate),2512.0,Partly Furnished,Built-up
67,KL Sentral,3500000.0,1,1.0,1.0,Serviced Residence,1648.0,Partly Furnished,Built-up
68,KLCC,1500000.0,2,2.0,1.0,Serviced Residence (Corner),1022.0,Fully Furnished,Built-up
69,KLCC,2300000.0,1,2.0,1.0,Serviced Residence (Intermediate),1023.0,Partly Furnished,Built-up
70,Mont Kiara,1830000.0,3+1,4.0,2.0,Condominium (Corner),1830.0,Partly Furnished,Built-up
72,Setapak,580000.0,4+1,2.0,2.0,Condominium (Corner),1550.0,Partly Furnished,Built-up
74,Mont Kiara,2180000.0,4+1,4.0,3.0,Condominium (Corner),3000.0,Partly Furnished,Built-up
76,KLCC,2030000.0,3+1,5.0,2.0,Condominium,2356.0,Fully Furnished,Built-up
77,Mont Kiara,3450000.0,4+1,6.0,3.0,Condominium,3720.0,Fully Furnished,Built-up
79,City Centre,4080000.0,4+1,5.0,2.0,Condominium (Corner),3713.0,Partly Furnished,Built-up
80,Taman Tun Dr Ismail,2880000.0,4+1,3.0,4.0,2-sty Terrace/Link House (Corner),4244.0,Partly Furnished,Land area
81,KLCC,1799000.0,1,1.0,1.0,Serviced Residence,720.0,Fully Furnished,Built-up
83,KLCC,1820000.0,2+1,2.0,2.0,Condominium (Corner),1159.0,Fully Furnished,Built-up
84,KLCC,1000000.0,3+1,3.0,2.0,Serviced Residence (Corner),1313.0,Partly Furnished,Built-up
85,KLCC,1650000.0,3+1,5.0,2.0,Condominium (Corner),1905.0,Fully Furnished,Built-up
87,KLCC,2300000.0,1,1.0,2.0,Serviced Residence,1023.0,Partly Furnished,Built-up
88,Mont Kiara,2400000.0,4+1,5.0,3.0,Condominium,2702.0,Partly Furnished,Land area
89,KLCC,2055000.0,1+1,1.0,1.0,Serviced Residence (Intermediate),797.0,Partly Furnished,Built-up
90,KLCC,1714000.0,1,1.0,1.0,Serviced Residence (Intermediate),700.0,Partly Furnished,Built-up
93,KLCC,2300000.0,3+1,4.0,3.0,Serviced Residence (Corner),3282.0,Partly Furnished,Built-up
94,Bukit Jalil,920000.0,4+1,3.0,2.0,Condominium,1513.0,Partly Furnished,Built-up
95,KLCC,2300000.0,1,1.0,2.0,Serviced Residence (Intermediate),1046.0,Partly Furnished,Built-up
96,Taman Tun Dr Ismail,4995000.0,5+1,7.0,6.0,Bungalow,8113.0,Partly Furnished,Land area
98,Mont Kiara,1850000.0,4+1,4.0,2.0,Condominium,1830.0,Partly Furnished,Built-up
100,KLCC,1783000.0,2,2.0,1.0,Condominium,976.0,Partly Furnished,Built-up
101,Dutamas,1180000.0,3+1,4.0,1.0,Condominium (Intermediate),1942.0,Partly Furnished,Built-up
103,Bukit Jalil,900000.0,4+1,3.0,2.0,Condominium (Corner),1513.0,Partly Furnished,Built-up
104,City Centre,1700000.0,2+1,2.0,1.0,Serviced Residence (Intermediate),1442.0,Fully Furnished,Built-up
108,Mont Kiara,3100000.0,4+1,6.0,3.0,Condominium (Corner),3400.0,Fully Furnished,Built-up
109,Bukit Jalil,630000.0,2,2.0,2.0,Serviced Residence,791.0,Partly Furnished,Built-up
112,KLCC,1780000.0,1,1.0,1.0,Serviced Residence (Corner),728.0,Fully Furnished,Built-up
114,Desa ParkCity,1050000.0,2+1,2.0,2.0,Condominium,1389.0,Partly Furnished,Built-up
115,Mont Kiara,2600000.0,4+1,4.0,3.0,Condominium,3041.0,Partly Furnished,Built-up
116,Bangsar South,630000.0,1+1,1.0,1.0,Serviced Residence,663.0,Partly Furnished,Built-up
117,KLCC,3364000.0,2+1,2.0,2.0,Serviced Residence,1399.0,Fully Furnished,Built-up
118,Bukit Jalil,978000.0,4+1,3.0,2.0,Condominium,1513.0,Partly Furnished,Built-up
119,KLCC,3600000.0,3+1,5.0,2.0,Serviced Residence (Corner),3897.0,Partly Furnished,Built-up
120,KLCC,3600000.0,3+1,5.0,2.0,Serviced Residence (Corner),3897.0,Partly Furnished,Built-up
121,KLCC,2000000.0,1,1.0,1.0,Serviced Residence,1087.0,Fully Furnished,Built-up
122,Mont Kiara,1630000.0,4+1,4.0,2.0,Condominium,2065.0,Partly Furnished,Built-up
125,KLCC,1250000.0,2,2.0,1.0,Condominium,736.0,Partly Furnished,Built-up
127,Bangsar South,630000.0,1+1,1.0,1.0,Serviced Residence,650.0,Fully Furnished,Built-up
128,KLCC,1350000.0,2,2.0,1.0,Serviced Residence,1050.0,Fully Furnished,Built-up
129,Bangsar South,490000.0,1,1.0,1.0,Serviced Residence (Intermediate),500.0,Fully Furnished,Built-up
131,Bangsar South,800000.0,2,2.0,1.0,Serviced Residence (Corner),825.0,Partly Furnished,Built-up
133,Dutamas,1035000.0,3+1,5.0,2.0,Condominium,1853.0,Unknown,Built-up
135,KLCC,1000000.0,1,1.0,1.0,Condominium (EndLot),657.0,Fully Furnished,Built-up
136,Sungai Besi,448800.0,3,3.0,1.0,Serviced Residence (Intermediate),1045.0,Unfurnished,Built-up
138,Mont Kiara,2480000.0,4+1,5.0,3.0,Condominium (Corner),3041.0,Partly Furnished,Built-up
139,KL Sentral,2716000.0,3+1,4.0,2.0,Serviced Residence (Corner),2227.0,Partly Furnished,Built-up
141,Country Heights Damansara,9500000.0,6+1,7.0,6.0,Bungalow (Corner),10000.0,Partly Furnished,Land area
143,Taman Desa,500000.0,2,2.0,1.0,Serviced Residence (Corner),715.0,Partly Furnished,Built-up
144,Damansara Heights,13800000.0,5+1,7.0,3.0,Bungalow (Corner),7500.0,Partly Furnished,Land area
149,Mont Kiara,2480000.0,4+1,5.0,3.0,Condominium,3041.0,Unfurnished,Built-up
150,KLCC,3500000.0,3,3.0,1.0,Serviced Residence,1560.0,Fully Furnished,Built-up
153,KLCC,3600000.0,3+1,4.0,2.0,Serviced Residence (Corner),3897.0,Fully Furnished,Built-up
155,Bukit Jalil,1060000.0,4+1,4.0,4.0,Condominium (Corner),1772.0,Partly Furnished,Built-up
156,Bukit Jalil,900000.0,4+1,3.0,3.0,Condominium (Corner),1513.0,Partly Furnished,Built-up
157,KLCC,1850000.0,3,1.0,1.0,Condominium (Corner),2174.0,Partly Furnished,Built-up
158,Sentul,668000.0,3+1,3.0,3.0,Condominium (Corner),1345.0,Fully Furnished,Built-up
159,KLCC,1050000.0,2+2,3.0,2.0,Serviced Residence (Intermediate),1313.0,Fully Furnished,Built-up
163,KLCC,2998000.0,3+1,3.0,2.0,Condominium (Intermediate),3218.0,Partly Furnished,Built-up
164,KLCC,2580000.0,3+1,3.0,2.0,Condominium (Intermediate),2809.0,Partly Furnished,Built-up
171,KLCC,1100000.0,2,2.0,1.0,Serviced Residence (Corner),880.0,Fully Furnished,Built-up
172,KLCC,3600000.0,4+1,3.0,2.0,Serviced Residence (Penthouse),3897.0,Partly Furnished,Built-up
173,KLCC,2900000.0,3+1,4.0,3.0,Condominium,2809.0,Fully Furnished,Built-up
174,Sentul,670000.0,3,2.0,2.0,Condominium,1085.0,Partly Furnished,Built-up
178,Desa ParkCity,1350000.0,2,2.0,2.0,Condominium (Intermediate),1292.0,Partly Furnished,Built-up
179,KLCC,2300000.0,1,2.0,1.0,Serviced Residence,1023.0,Partly Furnished,Built-up
180,KLCC,1900000.0,2,2.0,1.0,Condominium,915.0,Partly Furnished,Built-up
181,KLCC,1450000.0,2,2.0,2.0,Serviced Residence (Corner),1090.0,Fully Furnished,Built-up
183,KLCC,1300000.0,1,1.0,1.0,Serviced Residence,925.0,Partly Furnished,Built-up
184,KLCC,3600000.0,3,4.0,2.0,Serviced Residence (Corner),3897.0,Partly Furnished,Built-up
187,Taman Tun Dr Ismail,5350000.0,6,5.0,3.0,Bungalow,7200.0,Partly Furnished,Land area
188,Bukit Jalil,1050000.0,4+1,4.0,4.0,Condominium,1772.0,Partly Furnished,Built-up
189,Bukit Jalil,1200000.0,5+1,4.0,4.0,Condominium,1930.0,Partly Furnished,Built-up
190,Bukit Jalil,900000.0,4+1,3.0,2.0,Condominium,1513.0,Partly Furnished,Built-up
191,Damansara Heights,2251800.0,2+1,4.0,2.0,Serviced Residence,1668.0,Partly Furnished,Built-up
192,Bukit Jalil,998000.0,5+1,5.0,4.0,3-sty Terrace/Link House (EndLot),1650.0,Partly Furnished,Land area
193,Mont Kiara,1550000.0,3+1,4.0,2.0,Condominium,1496.0,Partly Furnished,Built-up
194,Setapak,780000.0,3,3.0,2.0,Condominium (Corner),1368.0,Partly Furnished,Built-up
195,Desa ParkCity,1380000.0,2,2.0,2.0,Condominium (Intermediate),1292.0,Partly Furnished,Built-up
196,Desa ParkCity,1798000.0,3+1,3.0,2.0,3-sty Terrace/Link House (Intermediate),2200.0,Partly Furnished,Built-up
198,KLCC,1268000.0,3,3.0,1.0,Condominium (Corner),1619.0,Fully Furnished,Built-up
199,KLCC,2600000.0,3+1,4.0,3.0,Condominium,2809.0,Fully Furnished,Built-up
200,KLCC,4200000.0,3+1,4.0,2.0,Serviced Residence (Corner),2195.0,Partly Furnished,Built-up
201,KLCC,3330000.0,2+1,3.0,1.0,Serviced Residence (Corner),2789.0,Fully Furnished,Built-up
202,KLCC,2600000.0,2,2.0,1.0,Serviced Residence (Intermediate),1184.0,Fully Furnished,Built-up
203,KLCC,1950000.0,1+1,2.0,1.0,Serviced Residence (Intermediate),1076.0,Partly Furnished,Built-up
207,KLCC,1400000.0,2,2.0,1.0,Serviced Residence (Corner),1050.0,Fully Furnished,Built-up
209,Damansara Heights,6500000.0,6,5.0,4.0,Bungalow,7200.0,Partly Furnished,Land area
210,Mont Kiara,1800000.0,4,4.0,2.0,Condominium,1830.0,Partly Furnished,Built-up
211,Bangsar,3800000.0,4+1,5.0,4.0,Bungalow (Corner),4067.0,Partly Furnished,Built-up
213,KLCC,3600000.0,3+2,5.0,2.0,Serviced Residence (Penthouse),3897.0,Unknown,Built-up
215,Segambut,635000.0,3+1,4.0,2.0,Condominium (Corner),1643.0,Partly Furnished,Built-up
217,KLCC,5070000.0,3+1,4.0,3.0,Serviced Residence (Corner),2142.0,Partly Furnished,Built-up
218,KL City,1207000.0,Studio,1.0,1.0,Serviced Residence (Intermediate),685.0,Partly Furnished,Built-up
219,KL City,1177000.0,2,1.0,1.0,Serviced Residence (Intermediate),717.0,Partly Furnished,Built-up
222,Wangsa Maju,700000.0,3,2.0,2.0,Condominium,1152.0,Partly Furnished,Built-up
225,Mont Kiara,3785400.0,5+1,5.0,3.0,Condominium (Duplex),3907.0,Partly Furnished,Built-up
226,KLCC,1300000.0,2,2.0,2.0,Condominium,871.0,Fully Furnished,Built-up
227,Sentul,960000.0,3+1,4.0,2.0,Condominium (Corner),1488.0,Unfurnished,Built-up
228,KL City,490000.0,4,2.0,2.0,Condominium,1065.0,Unfurnished,Built-up
229,Mont Kiara,4200000.0,5+1,5.0,3.0,Condominium (Corner),3709.0,Partly Furnished,Built-up
230,KLCC,1450000.0,2,1.0,1.0,Serviced Residence (EndLot),1050.0,Fully Furnished,Built-up
231,Desa ParkCity,2380000.0,4+1,4.0,3.0,Condominium (Corner),2454.0,Fully Furnished,Built-up
234,Bukit Jalil,1210000.0,5+1,6.0,4.0,3-sty Terrace/Link House (Intermediate),3400.0,Partly Furnished,Built-up
235,Taman Tun Dr Ismail,4995000.0,5+1,7.0,6.0,Bungalow (Intermediate),8113.0,Partly Furnished,Land area
236,Mont Kiara,1900000.0,4+1,4.0,2.0,Condominium (Corner),1830.0,Partly Furnished,Built-up
237,KLCC,2700000.0,2,2.0,2.0,Serviced Residence,1195.0,Partly Furnished,Built-up
238,KLCC,6300000.0,3+1,4.0,2.0,Serviced Residence (Corner),2195.0,Partly Furnished,Built-up
240,KLCC,1900000.0,2+1,2.0,1.0,Condominium,915.0,Fully Furnished,Built-up
241,KLCC,3000000.0,4+1,5.0,3.0,Condominium,3218.0,Partly Furnished,Built-up
244,KLCC,1000000.0,1,1.0,1.0,Condominium (EndLot),751.0,Partly Furnished,Built-up
245,KLCC,1000000.0,1,1.0,1.0,Condominium (EndLot),751.0,Partly Furnished,Built-up
246,KLCC,2000000.0,2+1,2.0,1.0,Serviced Residence (Corner),1350.0,Fully Furnished,Built-up
247,KLCC,6380000.0,3+1,4.0,2.0,Serviced Residence (Corner),2195.0,Partly Furnished,Built-up
249,Batu Caves,676775.0,3+1,3.0,4.0,Serviced Residence (Intermediate),1265.0,Partly Furnished,Built-up
251,Mont Kiara,1830000.0,4+1,4.0,2.0,Condominium (Corner),1830.0,Partly Furnished,Built-up
252,City Centre,1750000.0,2+1,3.0,1.0,Serviced Residence,1442.0,Partly Furnished,Built-up
253,Desa ParkCity,1780000.0,3+1,3.0,2.0,2-sty Terrace/Link House (Intermediate),2400.0,Fully Furnished,Built-up
255,Bukit Jalil,1200000.0,5+1,4.0,4.0,Condominium (Corner),1930.0,Partly Furnished,Built-up
256,KLCC,2300000.0,1,2.0,1.0,Serviced Residence,1046.0,Partly Furnished,Built-up
257,KLCC,2300000.0,1,1.0,2.0,Serviced Residence (Intermediate),1046.0,Partly Furnished,Built-up
258,Mont Kiara,1600000.0,3+1,3.0,2.0,Condominium,1878.0,Partly Furnished,Built-up
259,Mont Kiara,1291000.0,5+1,4.0,3.0,Condominium,2069.0,Partly Furnished,Built-up
260,KLCC,880000.0,1,1.0,1.0,Serviced Residence,710.0,Fully Furnished,Built-up
261,Jalan Klang Lama (Old Klang Road),655000.0,3+1,2.0,2.0,Serviced Residence (Corner),1094.0,Partly Furnished,Built-up
263,Mont Kiara,1400000.0,3+1,4.0,2.0,Condominium,1496.0,Partly Furnished,Built-up
264,KLCC,7975250.0,4+1,6.0,2.0,Serviced Residence (Penthouse),2975.0,Fully Furnished,Built-up
265,Mont Kiara,1100000.0,3,2.0,2.0,Condominium,1200.0,Partly Furnished,Built-up
266,KLCC,1238000.0,2,2.0,1.0,Condominium,736.0,Partly Furnished,Built-up
267,Bangsar South,750000.0,2,2.0,1.0,Serviced Residence (Intermediate),823.0,Partly Furnished,Built-up
268,Damansara Heights,2100000.0,3+1,4.0,2.0,Condominium (Corner),2153.0,Partly Furnished,Built-up
270,Mont Kiara,1500000.0,3,2.0,2.0,Condominium,1200.0,Fully Furnished,Built-up
271,Mont Kiara,2300000.0,4+1,6.0,3.0,Condominium (Corner),2702.0,Partly Furnished,Built-up
273,KLCC,990000.0,2+2,3.0,2.0,Serviced Residence (Corner),1313.0,Fully Furnished,Built-up
274,KLCC,3960000.0,3+1,4.0,2.0,Serviced Residence (Corner),2195.0,Partly Furnished,Built-up
275,KLCC,2700000.0,2,2.0,2.0,Serviced Residence (Corner),1184.0,Fully Furnished,Built-up
276,KLCC,1900000.0,1+1,2.0,1.0,Serviced Residence (Intermediate),1087.0,Fully Furnished,Built-up
277,Desa ParkCity,5460000.0,7+1,9.0,6.0,3.5-sty Terrace/Link House (Intermediate),7000.0,Partly Furnished,Built-up
278,KLCC,2050000.0,3+1,5.0,2.0,Condominium,2356.0,Fully Furnished,Built-up
279,Bangsar South,1121800.0,2+1,2.0,1.0,Serviced Residence,1200.0,Fully Furnished,Built-up
280,KLCC,1506300.0,2,1.0,1.0,Serviced Residence (Intermediate),1020.0,Fully Furnished,Built-up
281,Bangsar,1530000.0,3+1,3.0,2.0,Condominium (Corner),2095.0,Fully Furnished,Built-up
282,Ampang,3680000.0,7,8.0,4.0,Bungalow (Corner),6300.0,Unfurnished,Land area
283,KLCC,3600000.0,3+1,5.0,2.0,Serviced Residence (Corner),3897.0,Partly Furnished,Built-up
285,Sri Hartamas,14800000.0,4+2,6.0,4.0,Bungalow,8611.0,Fully Furnished,Land area
286,Desa ParkCity,1480000.0,3+2,4.0,2.0,Condominium (Corner),1917.0,Partly Furnished,Built-up
287,Bangsar South,1050000.0,3,2.0,2.0,Condominium (Intermediate),1485.0,Fully Furnished,Built-up
289,Klcc,1200019.0,2,2.0,1.0,Condominium (Corner),577.0,Partly Furnished,Built-up
293,Mont Kiara,1820000.0,4+1,4.0,2.0,Condominium (Corner),1830.0,Partly Furnished,Built-up
295,Mont Kiara,1420000.0,3+1,4.0,2.0,Condominium,1499.0,Partly Furnished,Built-up
296,Mont Kiara,1830000.0,4+1,4.0,2.0,Condominium,1832.0,Partly Furnished,Built-up
298,KLCC,1680000.0,3+1,2.0,3.0,Condominium,1159.0,Fully Furnished,Built-up
299,KLCC,2210000.0,3,3.0,2.0,Condominium,1502.0,Fully Furnished,Built-up
300,KLCC,1420000.0,2,2.0,1.0,Condominium (Intermediate),976.0,Fully Furnished,Built-up
301,KLCC,3600000.0,4+1,5.0,2.0,Serviced Residence (Corner),3897.0,Partly Furnished,Land area
302,KLCC,1238000.0,2,2.0,1.0,Condominium,736.0,Partly Furnished,Built-up
305,KLCC,1139000.0,1,1.0,1.0,Condominium,751.0,Partly Furnished,Built-up
306,KLCC,2930000.0,2,2.0,2.0,Serviced Residence (Corner),1114.0,Fully Furnished,Built-up
308,Damansara Heights,1620000.0,1+1,2.0,1.0,Serviced Residence,1194.0,Partly Furnished,Built-up
309,Desa ParkCity,1300000.0,2+1,3.0,2.0,Condominium (Intermediate),1367.0,Partly Furnished,Built-up
310,Country Heights Damansara,8000000.0,7,7.0,6.0,Bungalow (Corner),10600.0,Partly Furnished,Land area
311,Damansara Heights,6500000.0,5+1,4.0,6.0,Bungalow (Corner),7880.0,Partly Furnished,Land area
315,Bangsar,1600000.0,3,2.0,2.0,Townhouse,2400.0,Partly Furnished,Built-up
316,Desa ParkCity,1730000.0,3+1,3.0,2.0,Condominium (Corner),1690.0,Fully Furnished,Built-up
317,Desa ParkCity,1500000.0,3+1,2.0,2.0,Condominium (Intermediate),1346.0,Fully Furnished,Built-up
320,Desa ParkCity,1500000.0,3+1,3.0,2.0,Condominium (Intermediate),1400.0,Partly Furnished,Built-up
322,Desa ParkCity,1180000.0,2+1,3.0,2.0,Condominium,1507.0,Partly Furnished,Built-up
326,KLCC,2950000.0,3+1,4.0,2.0,Condominium (Corner),2674.0,Partly Furnished,Built-up
327,Bangsar South,490000.0,1,1.0,1.0,Serviced Residence,520.0,Fully Furnished,Built-up
328,KLCC,3090000.0,2,2.0,2.0,Serviced Residence,1572.0,Partly Furnished,Built-up
330,KLCC,1230000.0,3+1,4.0,2.0,Serviced Residence (Corner),1378.0,Fully Furnished,Built-up
331,Jalan Klang Lama (Old Klang Road),350000.0,3,2.0,1.0,Serviced Residence,950.0,Partly Furnished,Built-up
332,KLCC,1230000.0,1,1.0,1.0,Serviced Residence (Intermediate),850.0,Fully Furnished,Built-up
333,Desa ParkCity,1250000.0,2+1,2.0,2.0,Condominium (Intermediate),1303.0,Partly Furnished,Built-up
335,Desa ParkCity,1100000.0,2+1,3.0,2.0,Condominium (Intermediate),1378.0,Unfurnished,Built-up
338,Taman Melawati,2800000.0,4+1,6.0,4.0,Bungalow (Corner),5628.0,Partly Furnished,Land area
340,KLCC,3600000.0,3+1,5.0,2.0,Serviced Residence (Corner),3897.0,Partly Furnished,Built-up
342,KLCC,3900000.0,2,2.0,2.0,Serviced Residence,1636.0,Partly Furnished,Built-up
343,KLCC,1300000.0,1,1.0,1.0,Serviced Residence (EndLot),925.0,Partly Furnished,Built-up
345,Bukit Jalil,438000.0,3,2.0,1.0,Apartment (Corner),1018.0,Partly Furnished,Built-up
346,Jalan Klang Lama (Old Klang Road),530000.0,3+1,2.0,1.0,Serviced Residence (Corner),900.0,Partly Furnished,Built-up
347,Setiawangsa,590000.0,3,2.0,2.0,Condominium (Intermediate),1196.0,Partly Furnished,Built-up
349,KLCC,1000000.0,1,1.0,1.0,Condominium,751.0,Partly Furnished,Built-up
350,KLCC,1900000.0,2+1,2.0,1.0,Condominium (Corner),915.0,Partly Furnished,Built-up
352,KLCC,2400000.0,2,2.0,1.0,Serviced Residence,1006.0,Fully Furnished,Built-up
353,Setapak,380000.0,3+1,2.0,2.0,Condominium,950.0,Unfurnished,Built-up
354,KLCC,1198000.0,1+1,1.0,1.0,Serviced Residence (Corner),764.0,Fully Furnished,Built-up
355,KLCC,1000000.0,Studio,1.0,1.0,Condominium (EndLot),657.0,Partly Furnished,Built-up
356,Bangsar,12000000.0,6+1,6.0,4.0,Bungalow,11500.0,Partly Furnished,Land area
358,KLCC,1780000.0,1,1.0,1.0,Serviced Residence,728.0,Fully Furnished,Built-up
360,KLCC,2300000.0,1,1.0,1.0,Serviced Residence,1023.0,Partly Furnished,Built-up
363,KLCC,1000000.0,1,1.0,1.0,Condominium,751.0,Partly Furnished,Built-up
364,KLCC,800000.0,2+1,3.0,1.0,Serviced Residence (Corner),1055.0,Fully Furnished,Built-up
367,KLCC,3600000.0,3+1,5.0,2.0,Serviced Residence (Corner),3897.0,Partly Furnished,Built-up
368,Bukit Bintang,6000000.0,4+1,5.0,2.0,Serviced Residence (Corner),4157.0,Partly Furnished,Built-up
370,KLCC,1250000.0,3+1,4.0,2.0,Serviced Residence (EndLot),1378.0,Fully Furnished,Built-up
371,KLCC,2300000.0,1,2.0,1.0,Serviced Residence,1023.0,Partly Furnished,Built-up
373,Bukit Jalil,900000.0,4+1,3.0,3.0,Condominium (Corner),1513.0,Partly Furnished,Built-up
374,Mont Kiara,1850000.0,4+1,4.0,2.0,Condominium (Intermediate),1830.0,Partly Furnished,Built-up
375,KLCC,2400000.0,2,2.0,1.0,Serviced Residence,1006.0,Partly Furnished,Built-up
376,Wangsa Maju,1613300.0,3+1,5.0,3.0,Condominium,2336.0,Partly Furnished,Built-up
377,KLCC,2440000.0,1,2.0,1.0,Serviced Residence (Corner),1023.0,Fully Furnished,Built-up
378,Damansara Heights,5000000.0,3+1,3.0,4.0,Bungalow (Corner),7700.0,Partly Furnished,Land area
379,Sri Hartamas,7300000.0,6,6.0,6.0,Bungalow (Corner),7300.0,Partly Furnished,Land area
382,Mont Kiara,1850000.0,4+1,4.0,2.0,Condominium (Intermediate),1830.0,Partly Furnished,Built-up
383,KL Sentral,783990.0,1,1.0,1.0,Serviced Residence,650.0,Partly Furnished,Built-up
385,Chan Sow Lin,569200.0,1+1,2.0,2.0,Serviced Residence,888.0,Unfurnished,Built-up
387,Taman Tun Dr Ismail,1150000.0,3,2.0,1.0,Condominium (Corner),1560.0,Partly Furnished,Built-up
388,Bukit Jalil,425000.0,4,2.0,1.0,Condominium (Intermediate),1087.0,Partly Furnished,Land area
389,Bangsar,10000000.0,5+1,7.0,5.0,Condominium (Corner),6913.0,Partly Furnished,Built-up
390,Mont Kiara,1800000.0,3+1,4.0,2.0,Condominium (Corner),2243.0,Partly Furnished,Built-up
394,Jalan Kuching,580000.0,3,2.0,1.0,Condominium (Corner),1590.0,Partly Furnished,Built-up
395,Mont Kiara,618000.0,1,1.0,1.0,Serviced Residence (Intermediate),650.0,Fully Furnished,Land area
396,Mont Kiara,1518000.0,3+1,3.0,3.0,Condominium (Corner),2648.0,Partly Furnished,Built-up
397,Mont Kiara,2220000.0,4+1,4.0,3.0,Condominium,2973.0,Partly Furnished,Built-up
398,KLCC,3600000.0,4,4.0,2.0,Serviced Residence (Corner),3897.0,Fully Furnished,Built-up
401,Taman Tun Dr Ismail,3100000.0,4+1,4.0,3.0,Semi-detached House,3600.0,Partly Furnished,Land area
404,Bangsar,4900000.0,7,4.0,4.0,Bungalow (Intermediate),11676.0,Partly Furnished,Land area
407,Mont Kiara,1950000.0,3+1,4.0,3.0,Condominium,2535.0,Fully Furnished,Built-up
409,KLCC,3600000.0,3+1,4.0,2.0,Serviced Residence (Corner),3897.0,Partly Furnished,Built-up
410,Sungai Besi,600000.0,2+1,2.0,2.0,Serviced Residence (Intermediate),1025.0,Partly Furnished,Land area
