,Location,Price,Rooms,Bathrooms,Car Parks,Property Type,Size,Furnishing,Class
46053,Jalan Klang Lama (Old Klang Road),500000.0,3,3.0,2.0,Condominium (Intermediate),1250.0,Unfurnished,Built-up
46054,Sentul,680000.0,3,2.0,1.0,Condominium (Intermediate),1087.0,Fully Furnished,Built-up
46055,Setapak,440000.0,4,2.0,2.0,Condominium (Intermediate),1272.0,Partly Furnished,Built-up
46056,Setapak,460000.0,4,2.0,2.0,Condominium,1313.0,Partly Furnished,Built-up
46065,Desa Pandan,1150000.0,2,2.0,2.0,Serviced Residence (Intermediate),1410.0,Fully Furnished,Land area
46066,Desa Pandan,1300000.0,2,2.0,2.0,Serviced Residence (Intermediate),1410.0,Partly Furnished,Land area
46067,Desa Pandan,1300000.0,2,2.0,2.0,Serviced Residence (Intermediate),1743.0,Fully Furnished,Land area
46068,Desa Pandan,1250000.0,3+1,2.0,2.0,Serviced Residence (Corner),1539.0,Partly Furnished,Land area
46072,Cheras,450000.0,3,2.0,1.0,Townhouse,1126.0,Partly Furnished,Built-up
46076,Cheras,1400000.0,4,3.0,3.0,2-sty Terrace/Link House,2960.0,Partly Furnished,Land area
46080,Mont Kiara,850000.0,Studio,1.0,1.0,Serviced Residence (Studio),673.0,Fully Furnished,Built-up
46082,KLCC,5500000.0,3+2,4.0,2.0,Condominium,3756.0,Fully Furnished,Built-up
46088,KL City,530000.0,2+1,2.0,1.0,Condominium (Intermediate),1105.0,Fully Furnished,Built-up
46089,Damansara Heights,5000000.0,6,7.0,6.0,Bungalow (Intermediate),3822.0,Unfurnished,Land area
46090,Bukit Jalil,1120000.0,4+1,3.0,3.0,Condominium (Corner),1772.0,Partly Furnished,Built-up
46091,Mont Kiara,2500000.0,4+1,4.0,3.0,Condominium,2973.0,Partly Furnished,Built-up
46092,Kuchai Lama,300000.0,3,2.0,1.0,Serviced Residence (Intermediate),820.0,Unfurnished,Built-up
46093,Taman Melawati,469000.0,Studio,1.0,1.0,Serviced Residence (Intermediate),548.0,Partly Furnished,Built-up
46097,Chan Sow Lin,420000.0,2,2.0,1.0,Serviced Residence,695.0,Unfurnished,Built-up
46098,Sungai Besi,420000.0,2,2.0,1.0,Serviced Residence,695.0,Unfurnished,Built-up
46100,Jalan Klang Lama (Old Klang Road),880000.0,3,3.0,2.0,Condominium,1392.0,Fully Furnished,Built-up
46101,Sri Petaling,680000.0,3,2.0,1.0,Serviced Residence (Intermediate),1279.0,Fully Furnished,Built-up
46102,Bangsar South,538000.0,1+1,1.0,1.0,Serviced Residence,648.0,Unfurnished,Built-up
46103,Sri Petaling,680000.0,3,2.0,1.0,Serviced Residence (Intermediate),1279.0,Fully Furnished,Built-up
46105,Segambut,530000.0,2,2.0,1.0,Serviced Residence,713.0,Partly Furnished,Built-up
46106,Segambut,550000.0,2,2.0,1.0,Serviced Residence (Corner),720.0,Unfurnished,Built-up
46107,Ampang Hilir,2400000.0,5,6.0,6.0,Condominium,6081.0,Partly Furnished,Built-up
46115,Dutamas,1050000.0,4+1,4.0,3.0,Condominium,1650.0,Partly Furnished,Built-up
46117,Jalan Ipoh,510000.0,3,2.0,2.0,Condominium (Intermediate),1011.0,Partly Furnished,Built-up
